"setting","OM","Method","Bias","Bias.MCSE","LCI","LCI.MCSE","UCI","UCI.MCSE","Cov","Cov.MCSE","MSE","MSE.MCSE"
1,"linear","MAIC",-0.00562008963343464,0.0261019587121936,-0.941261131984112,0.0288508815195583,0.930020952717243,0.0304012116949481,0.876,0.0147393351274744,0.340006397465404,0.0232672963236297
1,"linear","G-computation",0.00752030298067225,0.00284216444734135,-0.116521293125272,0.00284780130351479,0.131561899086617,0.00283785351303647,0.942,0.0104533248299285,0.00408742643104094,0.000290377544552638
1,"linear","Bucher",0.0115548254269667,0.00364754071530443,-0.145313383520728,0.00364848703541475,0.168423034374662,0.0036473448342252,0.942,0.0104533248299285,0.00677248607227963,0.000434038240121285
2,"linear","MAIC",0.000525830493304439,0.00415898184247857,-0.18339695630213,0.00415760799131001,0.184448617288739,0.00416413984540321,0.948,0.00992935043192656,0.00863154435077484,0.000503931016612082
2,"linear","G-computation",0.00108073416911606,0.00356220755042747,-0.150023660120527,0.00356223895880284,0.152185128458759,0.00356345783940924,0.952,0.00955991631762538,0.00633313997987322,0.000344159150803848
2,"linear","Bucher",0.00118157440208616,0.0041909511782634,-0.183138987958361,0.00419002526379195,0.185502136762533,0.00419272171817945,0.94,0.0106207344378814,0.00876586793558275,0.00052717274788106
3,"linear","MAIC",-0.0220234598346534,0.027557618084635,-1.02348877750144,0.0316552033019965,0.979441857832137,0.0314838277036476,0.876,0.0147393351274744,0.379436767717892,0.0236882212279765
3,"linear","G-computation",-0.00554483093780094,0.00390159407223439,-0.175390227098441,0.00391046967470128,0.16430056522284,0.00389607105283517,0.95,0.00974679434480897,0.00762674086607156,0.000474250897655313
3,"linear","Bucher",0.69088210846435,0.0042155822331976,0.506638013690283,0.00421058593795686,0.875126203238416,0.00422137491331093,0,0,0.486185883445006,0.00585598710484803
1,"log-linear","MAIC",0.0597239101442093,0.0198684692549192,-0.786708057651778,0.0241573908295009,0.906155877940197,0.0206205438543265,0.926,0.0117067501895274,0.200550224639215,0.0126617275869774
1,"log-linear","G-computation",0.00519752664733384,0.00853162978292697,-0.287507686682137,0.0090158627240816,0.297902739976804,0.0080904711853486,0.882,0.0144274737913468,0.03634857895296,0.00233752390059446
1,"log-linear","Bucher",0.00433897196370116,0.010245154978723,-0.28834934836197,0.0106537905539914,0.297027292289372,0.00987848063975897,0.81,0.0175442298206561,0.0523954637461904,0.00359362610736709
2,"log-linear","MAIC",-0.160386337076228,0.0157755716465885,-0.618994470632698,0.0153677285099244,0.298221796480241,0.0168726021094995,0.768,0.0188772879408034,0.149909238848277,0.00928710840747089
2,"log-linear","G-computation",-0.156546951766703,0.0151980529514996,-0.525360201439904,0.0149780029264161,0.212266297906497,0.0154963475546798,0.694,0.0206089301032344,0.139766374052223,0.00931477290597339
2,"log-linear","Bucher",-0.161426553835172,0.0159085218084957,-0.517077007175684,0.0157383909072025,0.194223899505341,0.0161125543669189,0.64,0.021466252583998,0.15234598428266,0.0094482695759043
3,"log-linear","MAIC",-0.188688006277311,0.0227920244591834,-0.995293683441762,0.0284035129760992,0.617917670887141,0.0226131809291889,0.86,0.0155177317930167,0.294821876807966,0.0206695231970875
3,"log-linear","G-computation",-0.157494620867521,0.0149292125790035,-0.360898628890974,0.0150622017768309,0.0459093871559327,0.014819731267282,0.432,0.0221529230576915,0.136022368328512,0.0109324063018987
3,"log-linear","Bucher",0.551954788368495,0.0154453677117752,0.354512764680198,0.0155559357554861,0.749396812056792,0.0153590281081662,0.134,0.0152344346793703,0.423695220895132,0.01784644933845
1,"logistic","MAIC",0.108866466147415,0.0240051798740842,-0.83634056041847,0.0281012794662098,1.0540734927133,0.026922212499757,0.924,0.0118510759005248,0.299399989184209,0.0233033191959494
1,"logistic","G-computation",0.00370753444614566,0.00807234583938372,-0.353315991588601,0.00850500533867446,0.360731060480892,0.00767863139779704,0.952,0.00955991631762538,0.0325299667196266,0.00206634347023367
1,"logistic","Bucher",-0.204053329275765,0.00786391649190282,-0.558507430374686,0.00831386043274794,0.150400771823156,0.00745261970930866,0.818,0.0172554918793989,0.0724965113017426,0.00367298655462826
2,"logistic","MAIC",0.0732550780992968,0.0102278678957692,-0.375279801276553,0.0100065192084657,0.521789957475146,0.0105041015681688,0.936,0.0109456840809517,0.0575663380322937,0.00368015151119419
2,"logistic","G-computation",0.0748007973116467,0.00967322825459592,-0.353761746081386,0.00946418989064151,0.503363340704679,0.00994648244338088,0.954,0.00936845771725528,0.052287260366349,0.00342472176508485
2,"logistic","Bucher",0.0678686543916533,0.0101516105928031,-0.377090644839817,0.00995491855922675,0.512827953623123,0.0103835097774965,0.944,0.0102824121683582,0.0560306978652621,0.00357485120467794
3,"logistic","MAIC",0.123431029633038,0.0227397392216961,-0.795944516674092,0.0286002780233866,1.04280657594017,0.0244662913394043,0.912,0.0126693330526907,0.273265993271773,0.018901769359813
3,"logistic","G-computation",0.0677519239247842,0.0074689520507315,-0.250052924836329,0.00766348912936734,0.385556772685898,0.00729948292755969,0.91,0.0127984374046209,0.0324271603188368,0.00200163144351582
3,"logistic","Bucher",0.0940624350618884,0.00694511282893564,-0.208021065134654,0.00716239405566964,0.396145935258431,0.00675027543763129,0.896,0.013651666564929,0.0329168032008886,0.00195932433283135
